Date,Time,Open,High,Low,Close,Volume,RSI
2005.01.01,00:00,1.356,1.2918,1.3581,1.3042,205129,65.99335163
2005.02.01,00:00,1.304,1.2731,1.3278,1.3213,126023,67.54522462
2005.03.01,00:00,1.3214,1.2855,1.348,1.2961,198187,62.98370389
2005.04.01,00:00,1.296,1.2764,1.3123,1.2871,154477,61.38917121
2005.05.01,00:00,1.2859,1.2294,1.2986,1.2306,113222,52.4175211
2005.06.01,00:00,1.2307,1.1983,1.2352,1.2086,136527,49.39071377
2005.07.01,00:00,1.2085,1.1866,1.2254,1.2121,136152,49.88649844
2005.08.01,00:00,1.2121,1.2118,1.2484,1.2337,138417,52.94983307
2005.09.01,00:00,1.2338,1.1976,1.2587,1.2026,140890,48.3655913
2005.10.01,00:00,1.2021,1.1873,1.2201,1.1979,133414,47.69356715
2005.11.01,00:00,1.198,1.1639,1.2082,1.1789,139457,44.97311099
2005.12.01,00:00,1.1788,1.1659,1.2059,1.1848,142399,46.00310292
2006.01.01,00:00,1.1839,1.1801,1.2321,1.2146,154205,50.99273232
2006.02.01,00:00,1.2143,1.1825,1.2162,1.1927,118525,47.517636
2006.03.01,00:00,1.1926,1.1859,1.2206,1.2118,143856,50.67482878
2006.04.01,00:00,1.2116,1.2032,1.2639,1.2634,140567,58.02186051
2006.05.01,00:00,1.2628,1.2553,1.2971,1.2815,221458,60.25803753
2006.06.01,00:00,1.2816,1.2478,1.2978,1.2789,185423,59.76552961
2006.07.01,00:00,1.2786,1.2457,1.2861,1.2767,160823,59.32369427
2006.08.01,00:00,1.2768,1.2695,1.2937,1.2804,192290,59.86114466
2006.09.01,00:00,1.2805,1.263,1.2874,1.2672,144194,56.96917522
2006.10.01,00:00,1.2682,1.2483,1.2781,1.2762,110641,58.44332868
2006.11.01,00:00,1.2761,1.2681,1.3273,1.3238,133123,65.22817009
2006.12.01,00:00,1.3239,1.3052,1.3363,1.32,135045,64.3252655
2007.01.01,00:00,1.3233,1.2865,1.3296,1.3022,151689,60.12675248
2007.02.01,00:00,1.3023,1.2911,1.3258,1.3223,114379,63.05889163
2007.03.01,00:00,1.3225,1.3071,1.341,1.3354,145863,64.87197043
2007.04.01,00:00,1.3374,1.3318,1.3681,1.3642,122368,68.52896005
2007.05.01,00:00,1.3641,1.3406,1.3673,1.3451,112421,63.78629069
2007.06.01,00:00,1.3452,1.3262,1.3553,1.354,100900,65.001739
2007.07.01,00:00,1.3543,1.3527,1.3851,1.3677,136171,66.84637126
2007.08.01,00:00,1.3678,1.336,1.3839,1.3628,189016,65.51630605
2007.09.01,00:00,1.3629,1.355,1.4277,1.4266,132278,73.03855282
2007.10.01,00:00,1.4279,1.4014,1.4503,1.4471,169557,74.93085781
2007.11.01,00:00,1.447,1.4403,1.4966,1.4638,222362,76.38492526
2007.12.01,00:00,1.4649,1.4309,1.4769,1.4599,160205,75.28668821
2008.01.01,00:00,1.4661,1.4365,1.4921,1.4848,265329,77.50998575
2008.02.01,00:00,1.4849,1.4438,1.5238,1.5178,246992,80.06911645
2008.03.01,00:00,1.5207,1.5145,1.5902,1.5761,322011,83.616101
2008.04.01,00:00,1.5762,1.551,1.6019,1.5618,323771,79.86184197
2008.05.01,00:00,1.5619,1.5284,1.5818,1.5554,263770,78.17021635
2008.06.01,00:00,1.5561,1.5302,1.5843,1.5754,272487,79.62280934
2008.07.01,00:00,1.5753,1.5521,1.6038,1.5597,287856,75.38229802
2008.08.01,00:00,1.5596,1.4571,1.5631,1.4678,283555,56.43557105
2008.09.01,00:00,1.4707,1.3881,1.4867,1.4114,517618,48.39616366
2008.10.01,00:00,1.4113,1.2329,1.4174,1.2725,782545,35.1253046
2008.11.01,00:00,1.2769,1.2389,1.3115,1.269,629865,34.86586336
2008.12.01,00:00,1.2694,1.2549,1.4719,1.3917,367820,49.06843862
2009.01.01,00:00,1.3964,1.2763,1.3986,1.2811,612717,40.49662831
2009.02.01,00:00,1.2751,1.2512,1.3093,1.26676,727904,39.53235161
2009.03.01,00:00,1.26169,1.2456,1.37376,1.32426,1140455,45.17007582
2009.04.01,00:00,1.32381,1.28844,1.35806,1.32236,934776,45.02070578
2009.05.01,00:00,1.32237,1.32119,1.41678,1.41597,1280332,53.22722726
2009.06.01,00:00,1.41314,1.37477,1.43378,1.40352,1974222,52.11309033
2009.07.01,00:00,1.40355,1.38323,1.43036,1.42561,1757606,53.95471424
2009.08.01,00:00,1.42681,1.40454,1.44465,1.43311,1356138,54.59320586
2009.09.01,00:00,1.43317,1.41773,1.48427,1.46368,1260124,57.19844978
2009.10.01,00:00,1.46367,1.44835,1.50617,1.47185,1364374,57.89377055
2009.11.01,00:00,1.47356,1.46262,1.51437,1.50076,1375207,60.3484596
2009.12.01,00:00,1.50075,1.42175,1.51399,1.43306,1137154,52.61327427
2010.01.01,00:00,1.43259,1.3861,1.45785,1.38611,1108434,48.01675628
2010.02.01,00:00,1.38622,1.34433,1.40255,1.3631,1101693,45.90027408
2010.03.01,00:00,1.36223,1.3267,1.38171,1.35062,932645,44.748201
2010.04.01,00:00,1.35064,1.31141,1.36913,1.32936,895594,42.77839873
2010.05.01,00:00,1.33297,1.21435,1.33326,1.2308,1324576,35.07086186
2010.06.01,00:00,1.23078,1.18758,1.24668,1.22326,1108239,34.55788989
2010.07.01,00:00,1.22327,1.2193,1.3106,1.30506,966019,44.10903509
2010.08.01,00:00,1.30619,1.25874,1.3333,1.26891,876935,41.24419327
