PseudoTicket,Action,Type,Symbol,Lots,Date,Price
38,OPEN,BUY,EURUSD,1.0,2011-07-27 16:09:51,1.4339999999999999
38,CLOSE,BUY,EURUSD,1.0,2011-07-28 04:34:21,1.43607
39,OPEN,SELL,EURUSD,1.0,2011-07-28 09:53:06,1.4323399999999999
39,CLOSE,SELL,EURUSD,1.0,2011-07-29 02:31:19,1.429
40,OPEN,SELL,EURUSD,1.0,2011-08-01 09:33:28,1.4430000000000001
40,CLOSE,SELL,EURUSD,1.0,2011-08-01 14:05:37,1.42876
41,OPEN,SELL,EURUSD,1.0,2011-08-02 00:31:44,1.4268400000000001
41,CLOSE,SELL,EURUSD,1.0,2011-08-02 06:29:43,1.4241900000000001
42,OPEN,SELL,EURUSD,1.0,2011-08-02 09:26:21,1.41713
42,CLOSE,SELL,EURUSD,1.0,2011-08-02 12:32:15,1.4168799999999999
43,OPEN,BUY,EURUSD,1.0,2011-08-04 23:41:13,1.4073
43,CLOSE,BUY,EURUSD,1.0,2011-08-05 02:01:11,1.4105799999999999
44,OPEN,SELL,EURUSD,1.0,2011-08-05 07:27:46,1.4155
44,CLOSE,SELL,EURUSD,1.0,2011-08-05 07:41:04,1.41435
45,OPEN,SELL,EURUSD,1.0,2011-08-05 09:20:21,1.4162300000000001
45,CLOSE,SELL,EURUSD,1.0,2011-08-05 10:03:22,1.4130100000000001
46,OPEN,SELL,EURUSD,1.0,2011-08-05 11:15:11,1.41649
46,CLOSE,SELL,EURUSD,1.0,2011-08-05 13:20:52,1.4199999999999999
47,OPEN,BUY,EURUSD,1.0,2011-08-05 16:39:23,1.42395
47,CLOSE,BUY,EURUSD,1.0,2011-08-07 21:16:44,1.4391099999999999
48,OPEN,BUY,EURUSD,1.0,2011-08-07 22:58:42,1.4299999999999999
48,CLOSE,BUY,EURUSD,1.0,2011-08-08 01:12:04,1.4351
49,OPEN,BUY,EURUSD,1.0,2011-08-09 23:47:00,1.43699
49,CLOSE,BUY,EURUSD,1.0,2011-08-10 09:40:03,1.4383999999999999
50,OPEN,SELL,EURUSD,1.0,2011-08-10 12:51:52,1.4302299999999999
50,CLOSE,SELL,EURUSD,1.0,2011-08-10 22:20:12,1.4146000000000001
51,OPEN,SELL,EURUSD,1.0,2011-08-11 01:48:26,1.421
51,CLOSE,SELL,EURUSD,1.0,2011-08-11 10:03:13,1.4171100000000001
52,OPEN,SELL,EURUSD,1.0,2011-08-11 11:42:13,1.41499
52,CLOSE,SELL,EURUSD,1.0,2011-08-11 13:00:36,1.4167099999999999
53,OPEN,SELL,EURUSD,1.0,2011-08-12 07:11:56,1.4159600000000001
53,CLOSE,SELL,EURUSD,1.0,2011-08-12 07:32:55,1.4179200000000001
54,OPEN,BUY,EURUSD,1.0,2011-08-15 12:55:01,1.43703
55,OPEN,BUY,EURUSD,1.0,2011-08-16 05:41:18,1.4416500000000001
55,CLOSE,BUY,EURUSD,1.0,2011-08-16 13:53:55,1.4389000000000001
54,CLOSE,BUY,EURUSD,1.0,2011-08-17 07:06:17,1.4350000000000001
56,OPEN,SELL,EURUSD,1.0,2011-08-17 07:07:00,1.4336199999999999
56,CLOSE,SELL,EURUSD,1.0,2011-08-17 07:27:32,1.4379999999999999
57,OPEN,BUY,EURUSD,1.0,2011-08-17 08:06:25,1.44041
57,CLOSE,BUY,EURUSD,1.0,2011-08-17 15:16:27,1.4432700000000001
58,OPEN,BUY,EURUSD,1.0,2011-08-17 15:36:51,1.44309
59,OPEN,BUY,EURUSD,1.0,2011-08-18 00:03:13,1.4414199999999999
58,CLOSE,BUY,EURUSD,1.0,2011-08-18 01:16:14,1.4399999999999999
59,CLOSE,BUY,EURUSD,1.0,2011-08-18 06:07:35,1.4390000000000001
60,OPEN,SELL,EURUSD,1.0,2011-08-18 14:50:48,1.43041
60,CLOSE,SELL,EURUSD,1.0,2011-08-19 00:14:43,1.43028
61,OPEN,SELL,EURUSD,1.0,2011-08-19 02:02:11,1.4314
62,OPEN,SELL,EURUSD,1.0,2011-08-19 08:26:22,1.4290400000000001
62,CLOSE,SELL,EURUSD,1.0,2011-08-19 08:27:31,1.4289799999999999
61,CLOSE,SELL,EURUSD,1.0,2011-08-19 09:03:48,1.4332400000000001
63,OPEN,SELL,EURUSD,1.0,2011-08-19 11:08:12,1.43119
63,CLOSE,SELL,EURUSD,1.0,2011-08-19 11:50:54,1.4357200000000001
64,OPEN,BUY,EURUSD,1.0,2011-08-19 12:07:17,1.4393499999999999
64,CLOSE,BUY,EURUSD,1.0,2011-08-19 13:52:08,1.44157
65,OPEN,BUY,EURUSD,1.0,2011-08-22 06:33:47,1.4355
65,CLOSE,BUY,EURUSD,1.0,2011-08-22 08:49:22,1.43987
66,OPEN,BUY,EURUSD,1.0,2011-08-23 07:30:05,1.44215
67,OPEN,BUY,EURUSD,1.0,2011-08-23 09:02:16,1.44455
67,CLOSE,BUY,EURUSD,1.0,2011-08-23 13:44:04,1.4394
66,CLOSE,BUY,EURUSD,1.0,2011-08-23 13:44:04,1.4394
68,OPEN,BUY,EURUSD,1.0,2011-08-24 08:28:39,1.44425
68,CLOSE,BUY,EURUSD,1.0,2011-08-24 10:06:57,1.4468099999999999
69,OPEN,BUY,EURUSD,1.0,2011-08-24 12:33:06,1.4468399999999999
69,CLOSE,BUY,EURUSD,1.0,2011-08-24 14:45:45,1.44347
70,OPEN,BUY,EURUSD,1.0,2011-08-25 07:08:39,1.4446000000000001
70,CLOSE,BUY,EURUSD,1.0,2011-08-25 09:05:01,1.44329
71,OPEN,BUY,EURUSD,1.0,2011-08-25 13:16:46,1.4458599999999999
71,CLOSE,BUY,EURUSD,1.0,2011-08-25 13:53:26,1.4418
72,OPEN,SELL,EURUSD,1.0,2011-08-25 22:49:05,1.4373
72,CLOSE,SELL,EURUSD,1.0,2011-08-26 00:44:27,1.4399999999999999
73,OPEN,BUY,EURUSD,1.0,2011-08-26 00:58:01,1.44164
73,CLOSE,BUY,EURUSD,1.0,2011-08-26 03:35:22,1.44103
74,OPEN,SELL,EURUSD,1.0,2011-08-26 05:40:35,1.4426000000000001
74,CLOSE,SELL,EURUSD,1.0,2011-08-26 08:31:22,1.4446699999999999
75,OPEN,BUY,EURUSD,1.0,2011-08-26 13:49:23,1.44411
