Provider Ticket,Broker Ticket,Type,Currency,Standard Lots,Date Open,Date Close,Price Open,Price Close,Highest Profit (Pips),Worst Drawdown (Pips),Interest ($),Profit (Pips),Profit ($)
400.1342387085429,13659656,SELL,AUD/USD,1,2012/07/18 16:35:59,2012/07/18 18:42:10,1.03607,1.035,11,-4,0,10.7,107
400.1342386932899,13649434,SELL,EUR/USD,1,2012/07/18 10:00:10,2012/07/18 13:11:18,1.22333,1.22222,15,-15,0,11.1,111
400.1342386506730,13616494,BUY,EUR/USD,1,2012/07/17 14:33:18,2012/07/17 15:04:11,1.22127,1.22193,8,-25,0,6.6,66
400.1342385925925,13572056,SELL,EUR/USD,1,2012/07/16 12:03:37,2012/07/16 12:15:35,1.2186,1.2179,9,-3,0,7,70
400.1342385641227,13561746,SELL,GBP/USD,1,2012/07/15 22:48:56,2012/07/16 00:04:11,1.55897,1.55794,11,-5,0,10.3,103
400.1341782672499,13479047,BUY,EUR/USD,1,2012/07/12 07:19:27,2012/07/13 14:01:30,1.22236,1.22336,20,-62,-1.78,10,98.22
400.1341782742529,13488107,BUY,EUR/USD,1,2012/07/12 10:18:38,2012/07/13 03:32:35,1.22008,1.22061,15,-35,-1.78,5.3,51.22
400.1341782165826,13420985,SELL,GBP/USD,1,2012/07/11 08:58:31,2012/07/11 15:12:28,1.55571,1.55391,21,-22,0,18,180
400.1341782220945,13426756,SELL,GBP/USD,1,2012/07/11 11:24:16,2012/07/11 12:36:05,1.55754,1.55542,23,-1,0,21.2,212
400.1341781714805,13373538,BUY,USD/CHF,1,2012/07/10 12:55:16,2012/07/10 13:25:08,0.97804,0.9766,1,-15,0,-14.4,-147.45
400.1341781345281,13344788,SELL,EUR/USD,1,2012/07/09 20:32:34,2012/07/10 00:55:35,1.23192,1.2299,22,-4,0.21,20.2,202.21
400.1341178675070,13291680,BUY,EUR/USD,1,2012/07/06 12:47:21,2012/07/09 20:32:29,1.23545,1.23193,4,-101,-0.64,-35.2,-352.64
400.1341178719218,13296926,SELL,USD/CHF,1,2012/07/06 14:28:38,2012/07/09 12:50:43,0.97526,0.97657,0,-51,-3.92,-13.1,-138.06
400.1341178538341,13284200,BUY,EUR/USD,1,2012/07/06 07:02:45,2012/07/06 08:00:08,1.23711,1.2383,14,-6,0,11.9,119
400.1341178109852,13263327,SELL,AUD/USD,1,2012/07/05 12:39:22,2012/07/06 02:40:30,1.02614,1.02553,11,-42,-16.7,6.1,44.3
400.1341178111222,13263900,SELL,AUD/USD,1,2012/07/05 12:43:41,2012/07/06 02:40:25,1.02623,1.0255,12,-41,-16.7,7.3,56.3
400.1341178109748,13263261,SELL,AUD/USD,1,2012/07/05 12:38:42,2012/07/06 02:36:21,1.0264,1.02583,13,-39,-16.7,5.7,40.3
400.1341178109520,13263104,SELL,AUD/USD,1,2012/07/05 12:36:57,2012/07/06 02:35:02,1.02608,1.02589,10,-42,-16.7,1.9,2.3
400.1341178066272,13256346,BUY,AUD/USD,1,2012/07/05 11:01:40,2012/07/05 12:32:07,1.03184,1.0281,10,-37,0,-37.4,-374
400.1341178066438,13256512,BUY,AUD/USD,1,2012/07/05 11:02:57,2012/07/05 12:32:07,1.03072,1.0281,21,-26,0,-26.2,-262
400.1341177475680,13233704,SELL,GBP/USD,1,2012/07/04 10:10:09,2012/07/04 11:01:09,1.56538,1.56443,14,-5,0,9.5,95
400.1341176514423,13198285,BUY,EUR/USD,1,2012/07/02 17:34:16,2012/07/03 04:07:13,1.25851,1.26018,20,-13,-0.65,16.7,166.35
400.1340725515653,13140411,SELL,EUR/USD,1,2012/06/29 03:02:51,2012/06/29 03:03:40,1.26047,1.2585,20,-5,0,19.7,197
400.1340725076915,13116714,SELL,EUR/USD,1,2012/06/28 08:55:50,2012/06/29 02:49:21,1.24262,1.24704,11,-46,0.21,-44.2,-441.79
400.1340725081216,13117065,SELL,EUR/USD,1,2012/06/28 09:07:06,2012/06/29 02:49:17,1.24323,1.24716,17,-39,0.21,-39.3,-392.79
400.1340725139930,13120922,SELL,EUR/USD,1,2012/06/28 11:28:22,2012/06/28 11:55:52,1.24486,1.24314,20,-10,0,17.2,172
400.1340571993966,13067481,SELL,EUR/USD,1,2012/06/26 12:18:26,2012/06/26 12:53:23,1.24614,1.24726,4,-12,0,-11.2,-112
400.1340571907569,13062779,SELL,EUR/USD,1,2012/06/26 08:49:15,2012/06/26 09:41:18,1.2488,1.24981,5,-10,0,-10.1,-101
400.1340571426727,13044100,BUY,USD/JPY,1,2012/06/25 12:28:26,2012/06/25 22:18:31,79.674,79.598,4,-24,0,-7.6,-95.48
400.1340571287368,13032923,SELL,EUR/USD,1,2012/06/25 06:40:47,2012/06/25 09:25:01,1.25058,1.24917,19,-8,0,14.1,141
400.1340571285631,13032592,SELL,EUR/USD,1,2012/06/25 06:37:55,2012/06/25 09:21:34,1.24993,1.2493,13,-14,0,6.3,63
400.1340183995983,13014251,SELL,EUR/USD,1,2012/06/22 10:34:45,2012/06/25 05:39:23,1.25537,1.25267,30,-31,0.21,27,270.21
400.1340183595044,12993022,SELL,EUR/USD,1,2012/06/21 18:07:48,2012/06/21 18:16:12,1.25646,1.25611,6,-3,0,3.5,35
400.1339967425952,12918366,SELL,AUD/USD,1,2012/06/19 14:23:17,2012/06/21 02:23:26,1.01762,1.0172,41,-49,-70.03,4.2,-28.03
400.1339967420462,12917769,SELL,AUD/USD,1,2012/06/19 14:09:45,2012/06/20 16:32:15,1.01744,1.017,6,-37,-17.49,4.4,26.51
400.1340182832177,12946195,SELL,AUD/USD,1,2012/06/20 11:31:51,2012/06/20 12:50:45,1.0206,1.01942,15,-4,0,11.8,118
400.1339967462976,12921253,SELL,AUD/USD,1,2012/06/19 15:49:23,2012/06/19 18:50:21,1.01914,1.01771,17,-11,0,14.3,143
400.1339966792091,12880193,BUY,EUR/USD,1,2012/06/18 12:38:43,2012/06/18 14:23:10,1.26066,1.26009,4,-28,0,-5.7,-57
400.1339966630718,12868477,SELL,AUD/USD,1,2012/06/18 06:12:31,2012/06/18 07:23:37,1.01151,1.01023,16,-9,0,12.8,128
400.1339966495857,12863198,SELL,AUD/USD,1,2012/06/18 00:33:27,2012/06/18 01:45:49,1.01149,1.00929,22,-14,0,22,220
400.1339364460149,12851199,SELL,AUD/USD,1,2012/06/15 15:35:49,2012/06/15 16:24:07,1.00653,1.00547,11,-4,0,10.6,106
400.1339364160593,12832546,SELL,EUR/USD,1,2012/06/15 03:44:01,2012/06/15 07:28:35,1.2639,1.26256,24,-9,0,13.4,134
400.1339364013344,12829212,SELL,EUR/USD,1,2012/06/14 21:38:46,2012/06/15 00:49:11,1.26284,1.26163,13,-4,0.21,12.1,121.21
400.1339363689236,12809207,SELL,EUR/USD,1,2012/06/14 08:53:48,2012/06/14 10:16:49,1.2546,1.25653,3,-20,0,-19.3,-193
400.1339363625107,12804995,SELL,GBP/USD,1,2012/06/14 06:21:36,2012/06/14 06:49:25,1.54928,1.5481,19,-2,0,11.8,118
400.1339363263326,12790776,SELL,EUR/USD,1,2012/06/13 15:37:00,2012/06/13 15:51:49,1.26009,1.25936,8,-8,0,7.3,73
400.1339363191069,12784702,SELL,EUR/USD,1,2012/06/13 12:46:13,2012/06/13 13:48:38,1.25378,1.25278,20,-7,0,10,100
400.1339363167607,12782957,SELL,EUR/USD,1,2012/06/13 11:50:20,2012/06/13 13:41:03,1.25363,1.25241,19,-26,0,12.2,122
400.1339362637614,12759079,SELL,EUR/USD,1,2012/06/12 14:08:29,2012/06/12 15:13:52,1.24568,1.24784,13,-22,0,-21.6,-216
400.1339362215705,12736466,BUY,EUR/USD,1,2012/06/11 21:08:52,2012/06/11 23:56:05,1.24746,1.24765,4,-25,0,1.9,19
400.1339362240295,12737616,BUY,EUR/USD,1,2012/06/11 22:10:31,2012/06/11 22:40:17,1.24644,1.24709,7,-15,0,6.5,65
400.1339361630846,12701249,SELL,EUR/USD,1,2012/06/10 21:39:35,2012/06/11 07:25:10,1.266,1.26194,42,-10,0,40.6,406
400.1339361721108,12706697,SELL,GBP/USD,1,2012/06/11 01:20:17,2012/06/11 07:21:15,1.55537,1.55426,16,-21,0,11.1,111
400.1339361822260,12708562,SELL,EUR/USD,1,2012/06/11 05:37:38,2012/06/11 06:16:35,1.26445,1.26286,20,-4,0,15.9,159
400.1338759624520,12687723,BUY,GBP/USD,1,2012/06/08 09:09:38,2012/06/08 09:30:32,1.5414,1.54154,6,-6,0,1.4,14
400.1338759161918,12664683,SELL,USD/JPY,1,2012/06/07 14:30:38,2012/06/08 02:03:46,79.64,79.407,25,-12,-0.42,23.3,293.01
400.1338759394768,12676355,SELL,USD/JPY,1,2012/06/07 23:55:30,2012/06/08 00:33:50,79.742,79.592,17,-2,-0.42,15,188.04
400.1338758475329,12621245,SELL,AUD/USD,1,2012/06/06 11:06:24,2012/06/07 20:20:46,0.98614,0.99003,22,-142,-51.07,-38.9,-440.07
400.1338759081772,12658214,SELL,EUR/USD,1,2012/06/07 11:27:24,2012/06/07 14:19:56,1.25859,1.25629,26,-40,0,23,230
400.1338758938191,12647462,SELL,USD/JPY,1,2012/06/07 05:40:38,2012/06/07 09:01:36,79.447,79.451,19,-4,0,-0.4,-5.03
400.1338758394292,12615790,SELL,GBP/USD,1,2012/06/06 11:25:31,2012/06/06 11:39:02,1.5513,1.55063,7,-3,0,6.7,67
400.1338758386768,12615007,SELL,GBP/USD,1,2012/06/06 07:34:32,2012/06/06 09:21:15,1.54545,1.54485,7,-35,0,6,60
400.1338757400007,12566434,SELL,EUR/USD,1,2012/06/04 14:07:54,2012/06/05 06:49:41,1.24906,1.24951,17,-53,0.21,-4.5,-44.79
400.1338757631269,12575912,SELL,EUR/USD,1,2012/06/05 00:07:06,2012/06/05 06:41:33,1.25357,1.24994,37,-8,0,36.3,363
400.1338757388014,12565619,SELL,EUR/USD,1,2012/06/04 13:38:33,2012/06/04 13:43:44,1.24951,1.2487,9,-4,0,8.1,81
400.1338154602846,12494175,BUY,EUR/USD,1,2012/06/01 14:59:27,2012/06/01 15:38:57,1.2365,1.23826,20,-5,0,17.6,176
400.1338154590913,12492875,BUY,EUR/USD,1,2012/06/01 13:52:13,2012/06/01 14:10:18,1.241,1.24259,17,-19,0,15.9,159
400.1338154597239,12493389,BUY,EUR/USD,1,2012/06/01 13:57:47,2012/06/01 14:01:03,1.23946,1.24158,21,-4,0,21.2,212
400.1338154550527,12486979,BUY,EUR/USD,1,2012/06/01 12:15:31,2012/06/01 13:32:16,1.23229,1.24112,92,-36,0,88.3,883
400.1338154276751,12467093,BUY,EUR/USD,1,2012/06/01 00:56:46,2012/06/01 13:28:27,1.23448,1.24001,58,-58,0,55.3,553
400.1338154556854,12487930,BUY,EUR/USD,1,2012/06/01 12:31:23,2012/06/01 13:27:29,1.22984,1.23929,98,-12,0,94.5,945
