8095393,1317836621,0,0.1,EURUSD,1.32975,1.32977,1.33142,1317836687,1.32977,-0.52,0,0.15,"MDP_EURUSD_1.2.0[sl]",112226
8095528,1317836621,0,0.1,EURUSD,1.3298,1.32977,1.33147,1317836687,1.32977,-0.52,0,-0.23,"MDP_EURUSD_1.2.0[sl]",112226
8096762,1317837150,4,0.01,EURUSD,1.36693,0,0,1317837162,1.32865,0,0,0,"cancelled",0
8097563,1317837762,4,0.01,EURUSD,2,0,0,1317837779,1.33032,0,0,0,"cancelled",0
8097647,1317837946,4,0.01,EURUSD,2,0,0,1317838259,1.32967,0,0,0,"cancelled",0
8163949,1317899734,1,0.1,EURUSD,1.3383,1.33773,1.33664,1317899785,1.33773,-0.52,0,4.26,"MDP_EURUSD_1.2.0[sl]",112226
8164081,1317899734,1,0.1,EURUSD,1.3383,1.33773,1.33664,1317899785,1.33773,-0.52,0,4.26,"MDP_EURUSD_1.2.0[sl]",112226
8196786,1317915933,1,0.1,EURUSD,1.33022,1.32983,1.3285,1317915939,1.32983,-0.52,0,2.93,"MDP_EURUSD_1.2.0[sl]",112226
8197080,1317915943,1,0.09,EURUSD,1.33014,1.33003,1.32841,1317915959,1.33003,-0.47,0,0.74,"MDP_EURUSD_1.2.0[sl]",112226
8197252,1317915943,1,0.1,EURUSD,1.33011,1.33003,1.32867,1317915959,1.33003,-0.52,0,0.6,"MDP_EURUSD_1.2.0[sl]",112226
8248777,1317984646,4,0.1,EURUSD,1.40457,1.39457,1.41457,1317984652,1.34449,0,0,0,"cancelled",33704985
8248785,1317984658,4,0.1,EURUSD,1.40457,1.39457,1.41457,1317984674,1.34453,0,0,0,"cancelled",33704996
8248788,1317984661,5,0.1,EURUSD,1.28437,1.29437,1.27437,1317984680,1.34447,0,0,0,"cancelled",33704998
8248791,1317984683,4,0.1,EURUSD,1.40457,1.39457,1.41457,1317984699,1.34461,0,0,0,"cancelled",33705014
8248792,1317984685,5,0.1,EURUSD,1.28437,1.29437,1.27437,1317984702,1.34451,0,0,0,"cancelled",33705018
8248805,1317984704,4,0.1,EURUSD,1.40457,1.39457,1.41457,1317984721,1.34473,0,0,0,"cancelled",33705024
8248806,1317984707,5,0.1,EURUSD,1.28437,1.29437,1.27437,1317984723,1.34468,0,0,0,"cancelled",33705026
8248931,1317984932,1,0.01,EURUSD,1.34513,0,0,1317984939,1.34521,-0.05,0,-0.06,"",33705099
8260174,1318001417,1,0.1,EURUSD,1.34862,1.34935,1.34631,1318001463,1.34935,-0.52,0,-5.41,"MDP_EURUSD_1.2.0[sl]",112226
8260332,1318001438,1,0.1,EURUSD,1.34916,1.34935,1.34745,1318001463,1.34935,-0.52,0,-1.41,"MDP_EURUSD_1.2.0[sl]",112226
8260360,1318001438,1,0.1,EURUSD,1.34916,1.34935,1.34731,1318001463,1.34935,-0.52,0,-1.41,"MDP_EURUSD_1.2.0[sl]",112226
8260469,1318001438,1,0.1,EURUSD,1.34916,1.349,1.34739,1318001456,1.349,-0.52,0,1.19,"MDP_EURUSD_1.2.0[sl]",112226
